Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
81,6.674754,-357.8911,-89.27753,13.65182,-3.950815,-1.569465,3.890018,0.2048194,0.0001390041,5.367482e-05,5.242869e-05,369.1109440417925,5.762325883770719,-16.0,-21.3125
82,7.222017,-359.7051,-93.76464,12.46456,-3.874138,-1.589934,3.623857,0.2234636,0.0001839016,6.392078e-05,4.033314e-05,371.9340424542142,5.537975706325281,-15.0,-21.3125
83,7.831098,-362.2615,-98.70346,11.83415,-3.798496,-1.64808,3.215343,0.2463938,0.0002321815,7.983298e-05,2.927258e-05,375.65384931402485,5.242439332607007,-14.0,-21.3125
84,8.477908,-365.1231,-103.9141,11.65317,-3.7116,-1.744103,2.624258,0.2726756,0.0002769117,9.906285e-05,2.272566e-05,379.801019882081,4.868736990757768,-13.0,-21.3125
85,9.135523,-367.6046,-109.0499,11.92709,-3.591723,-1.85259,1.83574,0.3007808,0.0003090422,0.0001157845,2.381318e-05,383.6238758302696,4.438750405736845,-12.0,-21.3125
86,9.81387,-369.2533,-113.5917,13.00155,-3.404723,-1.94815,0.8911467,0.3301621,0.0003135214,0.0001221596,3.345216e-05,386.5489803015687,4.0226321693823675,-11.0,-21.3125
87,10.56495,-370.0246,-117.1823,15.18708,-3.130152,-2.020956,-0.08977657,0.3615901,0.0002808788,0.0001141837,4.822967e-05,388.43344788699187,3.7269524453044696,-10.0,-21.3125
88,11.44137,-369.9098,-119.8295,18.4619,-2.805164,-2.075362,-0.9875255,0.3955025,0.0002228773,9.581755e-05,5.773782e-05,389.27266916378807,3.6264692348192136,-9.0,-21.3125
89,12.47639,-368.3793,-121.678,22.57819,-2.521395,-2.126078,-1.718358,0.4320328,0.0001627916,7.419377e-05,5.260447e-05,388.6111411374693,3.7189238529812627,-8.0,-21.3125
90,13.71728,-364.8667,-122.9178,26.93402,-2.348268,-2.205924,-2.258753,0.4741392,0.0001170049,5.446669e-05,3.413724e-05,385.95587281331836,3.934771709846583,-7.0,-21.3125
91,15.17031,-359.6332,-123.9939,30.5611,-2.288545,-2.366762,-2.639672,0.5252725,8.720679e-05,3.752766e-05,1.070867e-05,381.6339956197036,4.219818580135051,-6.0,-21.3125
92,16.6539,-354.0332,-125.1039,32.85179,-2.344128,-2.626909,-2.880546,0.5798726,6.640192e-05,2.29575e-05,-8.121788e-06,376.92138782994806,4.548970458552242,-5.0,-21.3125
93,17.83103,-350.0072,-124.5648,33.9168,-2.475862,-2.914884,-2.990891,0.623135,4.966356e-05,6.948868e-06,-8.245898e-06,373.05733979258474,4.855087058990909,-4.0,-21.3125
94,18.46551,-349.0676,-118.9965,34.14276,-2.574288,-3.125851,-2.943448,0.637828,3.020938e-05,-2.239851e-05,1.438309e-05,370.3701991824229,5.0061751177769445,-3.0,-21.3125
95,17.9731,-356.588,-103.9147,33.8574,-2.473187,-3.205844,-2.584555,0.5785002,-1.52955e-06,-6.514851e-05,7.540879e-05,372.96057453147785,4.803541842987317,-2.0,-21.3125
96,15.16988,-387.0501,-69.04217,33.56216,-2.005919,-2.97359,-1.883865,0.3993112,-2.041095e-05,-8.767532e-05,0.0001657258,394.58968528356706,4.051530064171559,-1.0,-21.3125
97,10.76501,-435.9304,-16.63737,33.65694,-1.238826,-2.392424,-1.216853,0.1789922,-2.513477e-06,-6.414226e-05,0.0001758656,437.5441752952958,2.956199194516669,0.0,-21.3125
98,7.77079,-470.8663,22.11697,33.31981,-0.6381471,-1.918182,-0.8962512,0.05843832,2.575129e-05,-2.244663e-05,8.72203e-05,472.5615754334106,2.2113163771527247,1.0,-21.3125
99,6.963894,-481.8316,34.45449,31.92597,-0.385098,-1.760026,-0.8395138,0.03499345,3.929591e-05,2.562928e-06,1.802113e-05,484.1157611565244,1.987655757587425,2.0,-21.3125
100,6.907469,-483.735,36.88195,30.25053,-0.1979749,-1.714413,-0.878014,0.03381407,4.076672e-05,1.058804e-05,3.197669e-06,486.08118974723084,1.9363146902802266,3.0,-21.3125
101,6.970025,-484.2793,38.40325,28.83857,0.03488355,-1.670459,-0.9486831,0.03439918,3.845675e-05,1.258258e-05,4.826611e-06,486.6548192905289,1.9213666378302743,4.0,-21.3125
102,7.065541,-484.4858,40.1573,27.74571,0.2875443,-1.612981,-1.036346,0.03521467,3.493801e-05,1.371032e-05,5.770293e-06,486.9383159788661,1.93865996568235,5.0,-21.3125
103,7.179762,-484.5122,42.13256,26.99947,0.5411021,-1.557637,-1.132437,0.03605894,3.165448e-05,1.430986e-05,4.818967e-06,487.089515326777,2.00035948403341,6.0,-21.3125
104,7.309958,-484.2758,44.07652,26.53324,0.7973349,-1.518454,-1.225953,0.03685526,2.916657e-05,1.320808e-05,3.068419e-06,487.0008243379553,2.1081760484084366,7.0,-21.3125
105,7.456523,-483.4568,45.70627,26.27951,1.063957,-1.495762,-1.301648,0.03756293,2.76032e-05,1.009028e-05,1.38537e-06,486.3230955130478,2.2502435366859737,8.0,-21.3125
106,7.644456,-482.0608,46.90867,26.16785,1.35401,-1.487152,-1.34623,0.03837198,2.630916e-05,5.182394e-06,-1.030593e-07,485.0441161290707,2.4201858118962685,9.0,-21.3125
107,7.885727,-480.6027,47.77143,26.12973,1.676126,-1.491788,-1.344753,0.03936167,2.443168e-05,-1.240585e-06,-1.087733e-06,483.6774003004563,2.6159492418296266,10.0,-21.3125
108,8.13811,-479.523,48.40503,26.10984,2.018952,-1.502096,-1.286528,0.04023241,2.262732e-05,-6.98759e-06,-1.01918e-06,482.66663257690243,2.826236696793812,11.0,-21.3125
109,8.344543,-478.8962,48.89203,26.02562,2.337227,-1.508361,-1.193522,0.04075216,2.161004e-05,-7.937396e-06,6.360883e-08,482.08851248328386,3.0269254566860413,12.0,-21.3125
110,8.493646,-478.6131,49.30386,25.71542,2.580843,-1.503724,-1.126108,0.0409828,2.027066e-05,-3.338581e-06,2.855159e-06,481.83259844917717,3.1921866622252844,13.0,-21.3125
111,8.602757,-478.5292,49.70321,25.19274,2.740881,-1.46729,-1.116595,0.04104535,1.74121e-05,2.549922e-06,9.231722e-06,481.7626785935703,3.30335480902158,14.0,-21.3125
112,8.683204,-478.5869,50.10565,24.73575,2.835927,-1.362036,-1.151477,0.04098509,1.382959e-05,6.624411e-06,1.841143e-05,481.837995950501,3.3501527272878175,15.0,-21.3125
113,8.737525,-479.0043,50.47086,24.49099,2.884877,-1.179603,-1.212418,0.04076467,1.15875e-05,8.799088e-06,2.504081e-05,482.2781725506657,3.34423921833681,16.0,-21.3125
114,8.76393,-479.9646,50.78716,24.40033,2.904179,-0.9688447,-1.284028,0.04044529,1.048804e-05,9.478428e-06,2.456293e-05,483.2605187454635,3.319886085627501,17.0,-21.3125
115,8.765164,-481.0406,51.16449,24.39603,2.907047,-0.7945198,-1.353889,0.04017745,9.273489e-06,8.94073e-06,1.841058e-05,484.36869238740127,3.3038158842650476,18.0,-21.3125
116,8.756629,-481.786,51.88396,24.50764,2.900205,-0.6825768,-1.410918,0.0400457,8.145116e-06,6.902945e-06,1.11348e-05,485.19101343661674,3.296633090388926,19.0,-21.3125
117,8.754662,-482.2177,53.30075,24.8002,2.873948,-0.6248868,-1.443067,0.04008882,7.454428e-06,2.737999e-06,5.236873e-06,485.78794763136364,3.276049905909133,20.0,-21.3125
