Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
45,12.42021,-436.8461,26.48746,-9.519473,-2.57662,-0.4129691,1.351447,0.01919309,-1.301214e-07,2.309133e-05,-2.437696e-07,437.7518943290358,2.938694114017961,13.0,-22.0
46,12.09833,-436.9969,26.60812,-8.228185,-2.711303,-0.4155808,1.354228,0.01813962,-9.409967e-08,1.783815e-05,-7.491022e-07,437.8835298203606,3.059052931075505,14.0,-22.0
47,11.80965,-437.5263,26.7481,-7.203338,-2.821405,-0.4223774,1.378519,0.01722745,-5.561016e-08,1.418159e-05,-1.325107e-06,438.4023404632351,3.1684449617149357,15.0,-22.0
48,11.57919,-438.3276,26.8446,-6.5801,-2.880237,-0.4345223,1.398283,0.01653694,-3.36389e-08,1.417979e-05,-2.182856e-06,439.1981502544495,3.2310633162250615,16.0,-22.0
49,11.41145,-438.9994,26.89637,-6.252106,-2.828035,-0.4556504,1.395778,0.0160511,-2.973316e-08,1.555064e-05,-3.326008e-06,439.8669989314635,3.1864706924007886,17.0,-22.0
50,11.305,-439.4143,26.91821,-6.11381,-2.731364,-0.4866391,1.37876,0.01575112,-2.931877e-08,1.476271e-05,-4.172972e-06,440.2804739558753,3.0980874829069647,18.0,-22.0
51,11.24871,-439.6588,26.92354,-6.074791,-2.70468,-0.5213692,1.366731,0.01560048,-2.563644e-08,1.183112e-05,-4.170307e-06,440.52427913710414,3.0749103029957867,19.0,-22.0
52,11.22568,-439.8086,26.92275,-6.079209,-2.752286,-0.5522977,1.370688,0.01554632,-2.249735e-08,8.433386e-06,-3.560881e-06,440.6737975913569,3.123923265473288,20.0,-22.0
53,11.22078,-439.921,26.92502,-6.126337,-2.840595,-0.5773759,1.388291,0.01555146,-1.931246e-08,5.632232e-06,-3.062853e-06,440.78676811814347,3.213984253945064,21.0,-22.0
54,11.23463,-440.0477,26.9547,-6.262645,-2.943212,-0.6004724,1.413565,0.01567009,-1.599669e-08,3.607215e-06,-3.165351e-06,440.9169477915042,3.3198237888976516,22.0,-22.0
55,11.29737,-440.1928,27.07608,-6.599979,-3.043574,-0.627324,1.441953,0.01610678,-1.365895e-08,2.622338e-06,-3.581798e-06,441.07411509043106,3.425800132620261,23.0,-22.0
56,11.47633,-440.2937,27.42513,-7.413344,-3.11434,-0.6572086,1.465057,0.01729384,-1.261902e-08,3.498163e-06,-3.303237e-06,441.2092901157785,3.5039162080111104,24.0,-22.0
